x,y,z,Bx,By,Bz
-250.0,-210.0,-20.0,-0.0244191,-0.02072880,0.0874650
-250.0,-210.0,-18.0,-0.0221535,-0.018804,0.0885788
-250.0,-210.0,-16.0,-0.0198346,-0.01683547,0.0895929
-250.0,-210.0,-14.0,-0.0174670,-0.014825,0.0905018
-250.0,-210.0,-12.0,-0.0150557,-0.01277824,0.0913003
-250.0,-210.0,-10.0,-0.0126064,-0.010699,0.0919840
-250.0,-210.0,-8.0,-0.0101247,-0.00859265,0.0925490
-250.0,-210.0,-6.0,-0.0076168,-0.006464,0.0929918
-250.0,-210.0,-4.0,-0.0050890,-0.00431880,0.0933100
-250.0,-210.0,-2.0,-0.0025478,-0.002162,0.0935017
-250.0,-210.0,0.0,-0.00000000,-0.0000000,0.0935658
-250.0,-210.0,2.0,0.0025478,0.002162,0.0935017
-250.0,-210.0,4.0,0.0050890,0.00431880,0.0933100
-250.0,-210.0,6.0,0.0076168,0.006464,0.0929918
-250.0,-210.0,8.0,0.0101247,0.00859265,0.0925490
-250.0,-210.0,10.0,0.0126064,0.010699,0.0919840
-250.0,-210.0,12.0,0.0150557,0.01277824,0.0913003
-250.0,-210.0,14.0,0.0174670,0.014825,0.0905018
-250.0,-210.0,16.0,0.0198346,0.01683547,0.0895929
-250.0,-210.0,18.0,0.0221535,0.018804,0.0885788
-250.0,-210.0,20.0,0.0244191,0.02072880,0.0874650
-250.0,-200.0,-20.0,-0.0286580,-0.023104,0.0974243
-250.0,-200.0,-18.0,-0.0260332,-0.02098757,0.0988052
-250.0,-200.0,-16.0,-0.0233358,-0.018812,0.1000653
-250.0,-200.0,-14.0,-0.0205720,-0.01658364,0.1011970
-250.0,-200.0,-12.0,-0.0177485,-0.014307,0.1021931
-250.0,-200.0,-10.0,-0.0148728,-0.01198872,0.1030472
-250.0,-200.0,-8.0,-0.0119527,-0.009634,0.1037539
-250.0,-200.0,-6.0,-0.0089965,-0.00725171,0.1043085
-250.0,-200.0,-4.0,-0.0060130,-0.004846,0.1047072
-250.0,-200.0,-2.0,-0.0030111,-0.00242710,0.1049476
-250.0,-200.0,0.0,-0.00000000,-0.000000,0.1050279
-250.0,-200.0,2.0,0.0030111,0.00242710,0.1049476
-250.0,-200.0,4.0,0.0060130,0.004846,0.1047072
-250.0,-200.0,6.0,0.0089965,0.00725171,0.1043085
-250.0,-200.0,8.0,0.0119527,0.009634,0.1037539
-250.0,-200.0,10.0,0.0148728,0.01198872,0.1030472
-250.0,-200.0,12.0,0.0177485,0.014307,0.1021931
-250.0,-200.0,14.0,0.0205720,0.01658364,0.1011970
-250.0,-200.0,16.0,0.0233358,0.018812,0.1000653
-250.0,-200.0,18.0,0.0260332,0.02098757,0.0988052
-250.0,-200.0,20.0,0.0286580,0.023104,0.0974243
-250.0,-190.0,-20.0,-0.0337931,-0.02583023,0.1083604
-250.0,-190.0,-18.0,-0.0307445,-0.023499,0.1100869
-250.0,-190.0,-16.0,-0.0275968,-0.02109270,0.1116663
-250.0,-190.0,-14.0,-0.0243581,-0.018616,0.1130880
-250.0,-190.0,-12.0,-0.0210375,-0.01607848,0.1143417
-250.0,-190.0,-10.0,-0.0176449,-0.013485,0.1154186
-250.0,-190.0,-8.0,-0.0141912,-0.01084562,0.1163108
-250.0,-190.0,-6.0,-0.0106876,-0.008167,0.1170118
-250.0,-190.0,-4.0,-0.0071463,-0.00546148,0.1175162
-250.0,-190.0,-2.0,-0.0035795,-0.002735,0.1178204
-250.0,-190.0,0.0,-0.00000000,-0.0000000,0.1179220
-250.0,-190.0,2.0,0.0035795,0.002735,0.1178204
-250.0,-190.0,4.0,0.0071463,0.00546148,0.1175162
-250.0,-190.0,6.0,0.0106876,0.008167,0.1170118
-250.0,-190.0,8.0,0.0141912,0.01084562,0.1163108
-250.0,-190.0,10.0,0.0176449,0.013485,0.1154186
-250.0,-190.0,12.0,0.0210375,0.01607848,0.1143417
-250.0,-190.0,14.0,0.0243581,0.018616,0.1130880
-250.0,-190.0,16.0,0.0275968,0.02109270,0.1116663
-250.0,-190.0,18.0,0.0307445,0.023499,0.1100869
-250.0,-190.0,20.0,0.0337931,0.02583023,0.1083604
-250.0,-180.0,-20.0,-0.0400472,-0.028956,0.1203699
-250.0,-180.0,-18.0,-0.0364979,-0.02638948,0.1225438
-250.0,-180.0,-16.0,-0.0328127,-0.023724,0.1245382
-250.0,-180.0,-14.0,-0.0290025,-0.02096910,0.1263377
-250.0,-180.0,-12.0,-0.0250793,-0.018132,0.1279280
-250.0,-180.0,-10.0,-0.0210569,-0.01522389,0.1292964
-250.0,-180.0,-8.0,-0.0169498,-0.012254,0.1304318
-250.0,-180.0,-6.0,-0.0127738,-0.00923511,0.1313248
-250.0,-180.0,-4.0,-0.0085453,-0.006178,0.1319681
-250.0,-180.0,-2.0,-0.0042815,-0.00309541,0.1323562
-250.0,-180.0,0.0,-0.00000000,-0.000000,0.1324860
-250.0,-180.0,2.0,0.0042815,0.00309541,0.1323562
-250.0,-180.0,4.0,0.0085453,0.006178,0.1319681
-250.0,-180.0,6.0,0.0127738,0.00923511,0.1313248
-250.0,-180.0,8.0,0.0169498,0.012254,0.1304318
-250.0,-180.0,10.0,0.0210569,0.01522389,0.1292964
-250.0,-180.0,12.0,0.0250793,0.018132,0.1279280
-250.0,-180.0,14.0,0.0290025,0.02096910,0.1263377
-250.0,-180.0,16.0,0.0328127,0.023724,0.1245382
-250.0,-180.0,18.0,0.0364979,0.02638948,0.1225438
-250.0,-180.0,20.0,0.0400472,0.028956,0.1203699
-250.0,-170.0,-20.0,-0.0476922,-0.03252977,0.1335479
-250.0,-170.0,-18.0,-0.0435514,-0.029704,0.1363014
-250.0,-170.0,-16.0,-0.0392240,-0.02675283,0.1388349
-250.0,-170.0,-14.0,-0.0347242,-0.023683,0.1411267
-250.0,-170.0,-12.0,-0.0300686,-0.02050782,0.1431565
-250.0,-170.0,-10.0,-0.0252755,-0.017238,0.1449064
-250.0,-170.0,-8.0,-0.0203651,-0.01388949,0.1463604
-250.0,-170.0,-6.0,-0.0153591,-0.010475,0.1475055
-250.0,-170.0,-4.0,-0.0102803,-0.00701136,0.1483310
-250.0,-170.0,-2.0,-0.0051525,-0.003514,0.1488294
-250.0,-170.0,0.0,-0.00000000,-0.0000000,0.1489960
-250.0,-170.0,2.0,0.0051525,0.003514,0.1488294
-250.0,-170.0,4.0,0.0102803,0.00701136,0.1483310
-250.0,-170.0,6.0,0.0153591,0.010475,0.1475055
-250.0,-170.0,8.0,0.0203651,0.01388949,0.1463604
-250.0,-170.0,10.0,0.0252755,0.017238,0.1449064
-250.0,-170.0,12.0,0.0300686,0.02050782,0.1431565
-250.0,-170.0,14.0,0.0347242,0.023683,0.1411267
-250.0,-170.0,16.0,0.0392240,0.02675283,0.1388349
-250.0,-170.0,18.0,0.0435514,0.029704,0.1363014
-250.0,-170.0,20.0,0.0476922,0.03252977,0.1335479
-250.0,-160.0,-20.0,-0.0570522,-0.036586,0.1479811
-250.0,-160.0,-18.0,-0.0522143,-0.03348315,0.1514840
-250.0,-160.0,-16.0,-0.0471197,-0.030215,0.1547169
-250.0,-160.0,-14.0,-0.0417874,-0.02679620,0.1576489
-250.0,-160.0,-12.0,-0.0362398,-0.023238,0.1602514
-250.0,-160.0,-10.0,-0.0305022,-0.01955925,0.1624989
-250.0,-160.0,-8.0,-0.0246022,-0.015775,0.1643691
-250.0,-160.0,-6.0,-0.0185697,-0.01190758,0.1658435
-250.0,-160.0,-4.0,-0.0124365,-0.007974,0.1669072
-250.0,-160.0,-2.0,-0.0062353,-0.00399830,0.1675497
-250.0,-160.0,0.0,-0.00000000,-0.000000,0.1677646
-250.0,-160.0,2.0,0.0062353,0.00399830,0.1675497
-250.0,-160.0,4.0,0.0124365,0.007974,0.1669072
-250.0,-160.0,6.0,0.0185697,0.01190758,0.1658435
-250.0,-160.0,8.0,0.0246022,0.015775,0.1643691
-250.0,-160.0,10.0,0.0305022,0.01955925,0.1624989
-250.0,-160.0,12.0,0.0362398,0.023238,0.1602514
-250.0,-160.0,14.0,0.0417874,0.02679620,0.1576489
