E,t,x,y,z
0.0,0.0,0.0,0.0,0.0
5.96492007231687,5.962096243112746e-11,1.9020676084778115e-06,5.883189855556036e-09,7.95464619322193e-11
7.384236667942232,1.1924192486225492e-10,4.031084526889605e-06,2.4487791321001453e-08,3.313524054426716e-10
8.954694286371105,1.7886288729338239e-10,6.386956964319426e-06,5.7245933841899574e-08,7.751963804051448e-10
10.676132532303109,2.3848384972450985e-10,8.969573128832853e-06,1.0558909744594293e-07,1.4308939681900927e-09
12.548361144857214,2.981048121556373e-10,1.1778803232638967e-05,1.709479991416163e-07,2.3182962242899814e-09
14.571160033408262,3.5772577458676477e-10,1.4814499498323131e-05,2.5475247935286955e-07,3.4572881177974667e-09
16.744279320038835,4.1734673701789226e-10,1.8076496166150298e-05,3.584313883965579e-07,4.86778696782896e-09
19.067439388598437,4.769676994490197e-10,2.1564609502438506e-05,4.83412473009406e-07,6.569740876986336e-09
21.540330940360757,5.365886618801471e-10,2.5278637809002154e-05,6.311222629312484e-07,8.58312716194971e-09
24.162615056268383,5.962096243112746e-10,2.9218361433664584e-05,8.029859575512978e-07,1.0927950781294402e-08
26.933923265753005,6.558305867424021e-10,3.338354278183948e-05,1.0004273126241887e-06,1.3624242760625362e-08
29.85385762211797,7.154515491735295e-10,3.777392632918049e-05,1.22486852706254e-06,1.6692058615122536e-08
32.9219907844682,7.75072511604657e-10,4.238923863529843e-05,1.477730129812778e-06,2.0151476769590762e-08
36.13786610617189,8.346934740357845e-10,4.722918835854544e-05,1.7604308668209552e-06,2.4022596976107993e-08
39.50099772983645,8.94314436466912e-10,5.229346627186528e-05,2.074387588095296e-06,2.8325538729365787e-08
43.01087068878021,9.539353988980394e-10,5.7581745279708976e-05,2.4210151348722e-06,3.308043967979613e-08
46.666941014979706,1.0135563613291668e-09,6.309368043601507e-05,2.801726226892416e-06,3.8307454044578834e-08
50.46863585347168,1.0731773237602943e-09,6.882890896325337e-05,3.2179313497941157e-06,4.4026751016623847e-08
54.41535358318677,1.1327982861914217e-09,7.478705027253136e-05,3.671038642629563e-06,5.0258513171623044e-08
58.50646394419124,1.1924192486225491e-09,8.096770598476232e-05,4.162453785512094e-06,5.702293487326606e-08
62.74130817131152,1.2520402110536768e-09,8.737045995289383e-05,4.693579887400099e-06,6.434022067671495e-08
67.11919913411498,1.3116611734848042e-09,9.399487828519577e-05,5.265817374024698e-06,7.223058373043253e-08
71.63942148321915,1.3712821359159317e-09,0.00010084050936960649,5.8805638759677915e-06,8.071424417645945e-08
76.30123180290046,1.430903098347059e-09,0.00010790688389913591,6.539214116897167e-06,8.981142754923509e-08
81.1038587699715,1.4905240607781865e-09,0.00011519351489832434,7.243159801965321e-06,9.954236317305727e-08
86.04650331889623,1.550145023209314e-09,0.00012269989775075553,7.993789506378655e-06,1.0992728255827655e-07
91.12833881310901,1.6097659856404414e-09,0.00013042551022762253,8.79248856414371e-06,1.2098641779631995e-07
96.348511222504,1.669386948071569e-09,0.00013836981251734516,9.640638956997054e-06,1.3273999995364e-07
101.70613930705916,1.7290079105026965e-09,0.00014653224725623708,1.0539619203525482e-05,1.452082574646845e-07
107.20031480655827,1.788628872933824e-09,0.00015491223956022137,1.1490804248483125e-05,1.5841141452398278e-07
112.83010263637286,1.8482498353649514e-09,0.00016350919705759268,1.2495565352312106e-05,1.7236968947744395e-07
118.59454108926461,1.9078707977960788e-09,0.00017232250992282427,1.3555269980873312e-05,1.8710329321296315e-07
124.49264204316853,1.9674917602272064e-09,0.00018135155091141832,1.46712816953939e-05,2.0263242755043157e-07
130.52339117491437,2.0271127226583337e-09,0.0001905956753957977,1.5844960042638103e-05,2.1897728363124623e-07
136.68574817984378,2.0867336850894613e-09,0.0002000542214022371,1.70776604453079e-05,2.3615804030741534e-07
142.9786469972789,2.1463546475205885e-09,0.00020972650964883207,1.837073409268011e-05,2.541948625303554e-07
149.4009960417978,2.205975609951716e-09,0.0002196118435845033,1.972552783148646e-05,2.731078997394762e-07
155.95167844026884,2.2655965723828434e-09,0.00022970950942903504,2.114338405704315e-05,2.9291728425064933e-07
162.62955227459767,2.325217534813971e-09,0.00024001877621414455,2.2625640604636412e-05,3.13643129644657e-07
169.43345083013742,2.3848384972450983e-09,0.0002505388958255813,2.4173630641170616e-05,3.3530552915571704e-07
176.36218284971176,2.444459459676226e-09,0.00026126910304625345,2.5788682557085363e-05,3.5792455406017996e-07
183.41453279320035,2.5040804221073536e-09,0.0002722086156003789,2.7472119858548082e-05,3.815202520654949e-07
190.58926110263337,2.563701384538481e-09,0.0002833566341986594,2.9225261059928553e-05,4.0611264569954015e-07
197.88510447274308,2.6233223469696084e-09,0.00029471234258447504,3.104941957656184e-05,4.317217307004147e-07
205.30077612691628,2.6829433094007357e-09,0.0003062749075810961,3.294590361780605e-05,4.5836747440678725e-07
212.83496609849286,2.7425642718318633e-09,0.0003180434791399111,3.491601608040132e-05,4.860698141488983e-07
220.48634151735388,2.8021852342629905e-09,0.0003300171903896672,3.696105444213648e-05,5.148486556403121e-07
228.25354690173975,2.861806196694118e-09,0.0003421951576867215,3.908231065582971e-05,5.44723871370515e-07
236.1352044552421,2.921427159125246e-09,0.0003545764806662995,4.1281071043629624e-05,5.757152989984549e-07
244.12991436890673,2.981048121556373e-09,0.0003671602422947592,4.35586161916431e-05,6.078427397471195e-07
252.23625512838748,3.0406690839875007e-09,0.00037994550892285706,4.5916220844896175e-05,6.411259567992497e-07
260.45278382609,3.100290046418628e-09,0.000392931330340014,4.835515380263438e-05,6.755846736942818e-07
268.77803647824004,3.1599110088497556e-09,0.0004061167398295777,5.087667781396875e-05,7.112385727266179e-07
277.2105283468141,3.219531971280883e-09,0.00041950075422507904,5.348204947387384e-05,7.48107293345318e-07
285.7487542662654,3.2791529337120104e-09,0.0004330823739674793,5.617251911954395e-05,7.86210430555311e-07
294.39118897498054,3.338773896143138e-09,0.0004468605831634053,5.894933072711393e-05,8.255675333202203e-07
303.13628745139886,3.3983948585742653e-09,0.00046083434964436937,6.18137218087506e-05,8.661981029668997e-07
311.98248525472593,3.458015821005393e-09,0.0004750026250269711,6.476692331012116e-05,9.081215915917752e-07
320.92819887017265,3.51763678343652e-09,0.0004893643447740776,6.78101595082447e-05,9.513574004690896e-07
329.97182605865004,3.577257745867648e-09,0.0005039184282569797,7.0944647909733e-05,9.959248784611433e-07
339.11174621084757,3.636878708298775e-09,0.0005186637788185192,7.417159914942673e-05,1.0418433204306302e-06
348.3463207056248,3.6964996707299027e-09,0.0005335992838371858,7.749221688943321e-05,1.0891319656551604e-06
357.6738932726415,3.75612063316103e-09,0.0005487238147921799,8.09076977185718e-05,1.1378099962440679e-06
367.09279035915444,3.8157415955921576e-09,0.000564036227329436,8.441923105223315e-05,1.187896535557598e-06
376.60132150090453,3.875362558023285e-09,0.0005795353613286061,8.802799903265804e-05,1.2394106466285694e-06
386.19777969702085,3.934983520454413e-09,0.0005952200409709978,9.173517642964222e-05,1.2923713305866043e-06
395.88044178886145,3.99460448288554e-09,0.0006110890748084633,9.554193054167308e-05,1.3467975250850258e-06
405.64756884271964,4.054225445316667e-09,0.0006271412558332375,9.94494210975041e-05,1.4027081027305135e-06
415.49740653631244,4.113846407747795e-09,0.0006433753615487189,0.00010345880015817322,1.4601218695156142e-06
425.4281855489737,4.173467370178923e-09,0.0006597901540411925,0.00010757121201947087,1.5190575632542008e-06
435.4381219554761,4.2330883326100494e-09,0.0006763843800524883,0.00011178779311486379,1.5795338520199758e-06
445.5254176233953,4.292709295041177e-09,0.0006931567710535736,0.00011610967191888037,1.6415693325881124e-06
455.68826061394003,4.352330257472305e-09,0.0007101060433190739,0.00012053796885096353,1.7051825288801273e-06
465.9248255861651,4.411951219903432e-09,0.0007272308980027185,0.00012507379617979683,1.7703918904120814e-06
476.2332742044835,4.47157218233456e-09,0.0007445300212137087,0.00012971825792810983,1.837215790746199e-06
486.6117555493961,4.531193144765687e-09,0.0007620020840940022,0.0001344724497779683,1.9056725259460024e-06
497.058406531353,4.5908141071968145e-09,0.0007796457428965103,0.00013933745897655523,1.9757803130350535e-06
507.57135230766403,4.650435069627942e-09,0.000797459639064205,0.00014431436424244834,2.0475572884593974e-06
518.1487067023716,4.71005603205907e-09,0.0008154423993101305,0.00014940423567239963,2.1210215065537994e-06
528.7885726290003,4.7696769944901966e-09,0.0008335926356983152,0.00015460813464862302,2.196190938011872e-06
539.4890425160969,4.829297956921324e-09,0.0008519089457255806,0.00015992711374659542,2.2730834683601784e-06
550.2481987354741,4.888918919352452e-09,0.0008703899124042416,0.00016536221664337715,2.351716896436414e-06
561.0641140330686,4.9485398817835795e-09,0.0008890341043456953,0.00017091447802645702,2.4321089328717512e-06
571.9348519623259,5.008160844214707e-09,0.000907840075844892,0.00017658492350312795,2.5142771985774434e-06
582.8584673200252,5.067781806645834e-09,0.0009268063669656865,0.00018237456951039852,2.5982392232357784e-06
593.8330065844507,5.127402769076962e-09,0.0009459315036270626,0.00018828442322544608,2.6840124437954766e-06
604.8565083558227,5.187023731508089e-09,0.000965213997690228,0.0001943154824766168,2.7716142029716212e-06
615.9270037988967,5.246644693939217e-09,0.0009846523470465741,0.00020046873565497824,2.861061747750216e-06
627.0425170876397,5.3062656563703445e-09,0.0010042450357064974,0.00020674516162642997,2.9523722278974603e-06
638.201065851891,5.365886618801471e-09,0.0010239905338890747,0.0002131457296443773,3.0455626944738295e-06
649.4006616259197,5.425507581232599e-09,0.001043887298112592,0.000219671399262974,3.1406500983530593e-06
660.6393102987814,5.485128543663727e-09,0.0010639337712859181,0.000226323120250939,3.2376512887461164e-06
671.9150125663834,5.544749506094854e-09,0.0010841283828007208,0.00023310183250595243,3.336583011730251e-06
683.2257643851684,5.604370468525981e-09,0.0011044695486245187,0.0002400084659696367,3.4374619087832196e-06
694.5695574273159,5.663991430957109e-09,0.001124955671394566,0.00024704394054312717,3.540304515322767e-06
705.9443795373768,5.723612393388236e-09,0.0011455851405125638,0.00025420916600323826,3.6451272592514616e-06
717.3482151902372,5.783233355819364e-09,0.0011663563322401925,0.00026150504191922995,3.7519464595069654e-06
728.779045950325,5.842854318250492e-09,0.0011872676097954627,0.0002689324575701799,3.860778324617838e-06
740.2348509319606,5.9024752806816185e-09,0.0012083173234498756,0.00027649229186296645,3.971638951264953e-06
751.7136072607535,5.962096243112746e-09,0.001229503810626392,0.00028418541325086685,4.084544322848627e-06
763.2132905359593,6.021717205543874e-09,0.0012508253959982022,0.00029201267965277733,4.1995103080615335e-06
